package_id,county_count,record_count
cvndtcsclak0009nlrm0,2,2
cvndue4gikb000enbl30,2,2
cvrtiv5u3ph000audfmg,2,2
cvpdkrp0qf8g00ffe17g,2,2
cvveg24s10rg00fog8m0,2,2
cvvu6jmgi0og008fjfe0,2,2
d00i254s10rg0085hll0,2,2
d0557m5sc5cg00dpa0ug,2,2
d5pk2kmlkkgg00bf1d40,2,2
d04hqrc72f3g00bvqng0,2,2
cvvboc7mrfo000aurmh0,2,2
cvvef2uo773g009nbaig,2,2
cva84ijchrbg00cq0gc0,2,2
d04ho1idvnk000aramhg,2,2
cvvsfd3pp0p000foa3e0,2,2
cvqjnr4aa58000bhoitg,2,2
d05vn6edqm9g00aqhimg,2,2
cvnitpnmrfo0009vlfq0,2,2
d4pnjlonnp4g00clp3l0,2,2
cvne954bkkeg00fof54g,2,2
d5ululdsdh8000a0pmn0,2,2
d5rb6cvi154000cld7n0,2,2
cvo14vacalk000d25krg,2,2
d07prj2dvnk000b1f4n0,2,2
cvqk22l27ee000eg7tp0,2,2
cvnivruomc2g00c7s2fg,2,2
cvqju8caa58000bhokjg,2,2
d04llqnmrfo000cot1bg,2,2
d05va14s3cjg008cb2n0,2,2
cvnjj73puid000a5iu80,2,2
cvvv8ocaa58000ch6llg,2,2
d07plkrkf5cg00dhfpfg,2,2
cvnj8dmgi0og00f9r65g,2,2
d5ululkg7bb000diaivg,2,2
d07pvuer7j8g00bluh80,2,2
d07q2tgsssgg00fjb74g,2,2
cvvs13idvnk00097srh0,2,2
cvvs6bt27ee000ffpl2g,2,2
cvvc99hggil000fbgrm0,2,2
d04g4vn9vfn000ekksag,2,2
d5gpvdui8kjg00c3ejrg,2,2
d07ppkcs3cjg008grtcg,2,2
d07ptvbkf5cg00dhg1a0,2,2
d03v1i4aa58000dvk3jg,2,2
cvnivih0p0eg00e6bkjg,2,2
cvvs7rjpp0p000foa1og,2,2
cvvs0f6jsr2g0094ef40,2,2
cvvu5t472f3g00accc00,2,2
d07q07ujsr2g00au2qi0,2,2
cvnj2rmr7j8g008mfo10,2,2
cvvsohf9vfn000d181q0,2,2
d04hv0mdqm9g00aotvc0,2,2
cvnjdpv9vfn000brgoo0,2,2
cvnjvoio7i8g00fs5ohg,2,2
d07pu5mjsr2g00au2pe0,2,2
cvvbqq0h3d7g00cjnpa0,2,2
d07q04du3ph000diede0,2,2
cvndvhugi0og00f9qse0,2,2
d5uluntsdh8000a0pmr0,2,2
d04hu95lhp0g009n3du0,2,2
cvnk4bsmmp3000faajo0,2,2
d05572smmp3000a3ooqg,2,2
cvv7pjeo773g009n9mg0,2,2
cvo0f4h0p0eg00e7qq00,2,2
d5dfv1ui8kjg00c35520,2,2
cvvs7vs1fmq000c5nemg,2,2
cvnk05v9vfn000brgqi0,2,2
cvvshj79vfn000d17t00,2,2
d005a1smmp30008jb6n0,2,2
cvne00t3tiq0008fdu3g,2,2
cvume54mmp300089hfag,2,2
cvnj2rcs3cjg00dhibig,2,2
cvnitqgsssgg00cjtpr0,2,2
cve6rv3f430g00e30t60,2,2
d07q1fqcalk0008018mg,2,2
d04hohtlhp0g009n3dk0,2,2
cvnjsbks10rg00ep91q0,2,2
d004dmdaar4g00e9f1eg,2,2
d05v9ptlhp0g009omosg,2,2
d07pqrrpp0p0009huklg,2,2
d004nt8b12i0008cgrng,2,2
cvqk3clpebk000bito0g,2,2
cvvsj6gsssgg00dpmhmg,2,2
d05997ejsr2g00ao2gd0,2,2
cvvsistu3ph000boogmg,2,2
cvr8b4gh3d7g00bujfk0,2,2
d5i3o7mi2fk000ae0m2g,2,2
d04i1e5pebk000e5ugs0,2,2
d0551quo773g00bhedjg,2,2
cvvsjfujsr2g0094eoeg,2,2
d04ko3edqm9g00ap1bp0,2,2
d04hsrjpp0p0009bpegg,2,2
cvv7qi90qf8g008a38n0,2,2
cvqjlbkclak0009ttcq0,2,2
d0nrouugi0og00ba2rt0,2,2
