Directory,Size_Bytes
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\00ff,18962043
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0100,19254054
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0101,9139943
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0102,4557987
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0103,6288705
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0104,19856541
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0105,1117714
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0106,9742623
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0107,26261899
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0108,1971988
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0109,1906268
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\010a,1135541
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\010b,2009153
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\010c,5856875
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\010d,456451
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\010e,13989251
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\010f,3119734
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0110,15996543
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0111,3621266
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0112,218834948
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0113,2851484
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0114,13131057
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0115,10261163
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0116,914124
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0117,5448671
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0118,83384161
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0119,23094410
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\011a,9120222
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\011b,19766683
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\011c,7888303
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\011d,36076000
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\011e,18693660
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\011f,14074780
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0120,22463301
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0121,28143553
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0122,55392474
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0123,30523749
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0124,7148895
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0125,8771372
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0126,20758381
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0127,16556819
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0128,28282518
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0129,33243228
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\012a,9880545
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\012b,17269365
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\012c,11919650
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\012d,10874659
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\012e,5357299
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\012f,26310973
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0130,19245572
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0131,12625016
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0132,1965651
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0133,13390805
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0134,7262069
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0135,10619542
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0136,17420609
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0137,12522814
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0138,8544436
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0139,1705234
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\013a,12833132
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\013b,14113299
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\013c,10779872
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\013d,12469735
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\013e,22656394
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\013f,28857478
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0140,12504910
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0141,10682889
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0142,18323378
\\aus2-cs-fss01.na.drillinginfo.com\leasing_images_uncompressed\0143,9411607
